kanji,slug,prompt
一,one,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
二,two,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
三,three,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
四,four,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
五,five,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
六,six,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
七,seven,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
八,eight,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
九,nine,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
十,ten,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
口,mouth,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
日,day,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
月,month,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
田,rice_field,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
目,eye,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
古,old,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
吾,i,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
冒,risk,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
明,bright,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
唱,chant,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
晶,sparkle,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
品,goods,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
呂,spine,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
昌,prosperous,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
早,early,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
旭,rising_sun,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
世,generation,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
胃,stomach,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
旦,dawn,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
胆,gallbladder,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
亘,span,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
凹,concave,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
凸,convex,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
旧,olden_times,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
自,oneself,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
白,white,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
百,hundred,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
中,middle,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
千,thousand,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
舌,tongue,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
升,measuring_box,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
昇,rise,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
丸,round,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
寸,measurement,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
肘,elbow,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
専,specialty,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
博,knowledgeable,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
占,fortune_telling,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
上,up,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
下,below,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
卓,eminent,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
朝,morning,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
嘲,derision,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
只,only,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
貝,shellfish,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
唄,pop_song,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
貞,virtue,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
員,employee,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
貼,post_a_bill,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
見,see,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
児,newborn,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
元,beginning,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
頁,page,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
頑,stubborn,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
凡,mediocre,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
負,defeat,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
万,ten_thousand,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
句,phrase,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
肌,texture,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
旬,ten_days,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
勺,ladle,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
的,bulls_eye,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
