kanji,slug,keyword,prompt
一,one,one,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a single glowing line in empty space"
二,two,two,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, two parallel balanced lines"
三,three,three,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, three stacked lines"
四,four,four,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of four, simple abstract form"
五,five,five,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of five, simple abstract form"
六,six,six,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of six, simple abstract form"
七,seven,seven,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of seven, simple abstract form"
八,eight,eight,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of eight, simple abstract form"
九,nine,nine,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of nine, simple abstract form"
十,ten,ten,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of ten, simple abstract form"
口,mouth,mouth,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of mouth, simple abstract form"
日,day,day,"64x64 pixel art, minimal style, sun shining brightly in a blue sky, summer day atmosphere, 3-4 colors, no text, clean pixel edges"
月,month,month,"crescent moon glowing softly in a dark sky, slight inner shading to suggest shape, calm night atmosphere, 3-4 colors, no text, clean pixel edge"
田,rice_field,rice_field,"64x64 pixel art, minimal style, square field divided into four equal sections by crossing lines, earthy green and brown tones, simple grid layout, no text, clean pixel edges"
目,eye,eye,"64x64 pixel art, minimal style, simple eye shape with a centered pupil inside a rectangular frame, bold outline, high contrast, minimal colors, no text"
古,old,old,"64x64 pixel art, minimal style, ancient worn object like an old stone tablet with cracks, slightly faded texture, muted colors, evokes age and time, no text"
吾,i,i,"64x64 pixel art, minimal style, a person standing firmly with a small glowing aura around them, centered composition, simple human figure, symbolizing self-awareness, no text"
冒,risk,risk,"64x64 pixel art, minimal style, small figure stepping toward edge of a cliff or into unknown darkness, strong contrast between safe ground and danger, simple shapes, no text"
明,bright,bright,"64x64 pixel art, minimal style, sun and moon side by side emitting light, bright contrast against dark background, glowing effect, minimal colors, no text"
唱,chant,chant,"64x64 pixel art, minimal style, open mouth with sound waves radiating outward, rhythmic repeating lines, simple composition, minimal palette, no text"
晶,sparkle,sparkle,"64x64 pixel art, minimal style, three small glowing squares or light sources arranged in triangle, bright shimmering effect, high contrast, no text"
品,goods,goods,"64x64 pixel art, minimal style, three stacked boxes or items arranged neatly, uniform shapes, suggesting products or inventory, simple composition, no text"
呂,spine,spine,"64x64 pixel art, minimal style, vertical segmented structure resembling stacked blocks or vertebrae, evenly spaced, neutral tones, simple composition, no text"
昌,prosperous,prosperous,"64x64 pixel art, minimal style, two bright sun shapes stacked or layered, glowing strongly, sense of abundance and energy, minimal colors, no text"
早,early,early,"64x64 pixel art, minimal style, rising sun just above horizon with soft morning light, calm gradient, simple composition, no text"
旭,rising_sun,rising_sun,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of a beer raised in gesture of kampai toward the rising sun, simple abstract form"
世,generation,generation,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of 3 generations together, simple abstract form"
