lesson,order_in_lesson,kanji,keyword,slug,v1_concept_summary,v2Concept,subjectType,humanPresence,narrativeStrength,emotionalTone,colorWeight,atmosphere,galleryPriority
1,1,一,one,one,V1 cinematic wash: Single reed/brushstroke in pale dawn mist — abstract oneness. Verse: «one line remains before the world decides to…» Weak v1 test: overly symbolic / floating kanji / misread risk.,"A single ripe persimmon on worn cedar, afternoon amber slicing through paper shoji — solitude before abundance.",still_life,none,static,hushed anticipation,moderate,"late autumn interior, single shaft of gold",transition
1,2,二,two,two,V1 cinematic wash: Two parallel stones or matched lanterns on a quiet path. Verse: «not alone now space starts speaking between equals» Weak v1 test: number symbolism without compelling subject.,"Two stone lanterns at a shrine stair, moss at their bases, crimson torii bleeding into indigo shadow — companionship without speech.",architecture,implied,implied,quiet pairing,rich,"dusk approach, incense implied",supporting
1,3,三,three,three,V1 cinematic wash: Three cranes or torii posts in grey-blue dawn. Verse: «the third mark lands and suddenly the air…» Weak v1 test: number symbolism without compelling subject.,Three persimmons on a lacquer tray beside a folded fan — the third completes the triangle of attention.,still_life,none,static,composed arrival,moderate,"tea-room stillness, warm ochre against charcoal wood",supporting
1,4,四,four,four,V1 cinematic wash: Square courtyard or garden frame from above. Verse: «a frame appears and what was open learns…» Weak v1 test: number symbolism without compelling subject.,"Four tatami mats in a room opened to a square courtyard garden, rain on the eaves — enclosure that breathes.",architecture,implied,implied,sheltered calm,restrained,"grey rain, green stone, pale interior",supporting
1,5,五,five,five,V1 cinematic wash: Cross of paths in misty field with faint ochre grass. Verse: «it almost balances but keeps one hidden turn…» Weak v1 test: number symbolism without compelling subject.,"Five carp flags catching wind above a village river, their reflections broken by current — celebration held in air.",mixed,implied,active,lifted festivity,rich,"spring breeze, indigo water, vermilion cloth",feature
1,6,六,six,six,V1 cinematic wash: Honeycomb light on water or six petals in a bowl. Verse: «from the top the thought breaks open into…» Weak v1 test: overly symbolic / floating kanji / misread risk.,Six tea bowls cooling on a long wooden counter after a gathering — steam ghosts still rising.,still_life,implied,implied,aftermath warmth,moderate,"post-ceremony hush, celadon and umber",supporting
1,7,七,seven,seven,V1 cinematic wash: Bent branch or turning mountain path. Verse: «one stroke turns and suddenly feels like intent» Weak v1 test: overly symbolic / floating kanji / misread risk.,"Seven koi in a temple pond, one turning against the flow — a single decisive curve in silver and orange.",animal,none,active,restless grace,rich,"moonlit water, black pine silhouette",feature
1,8,八,eight,eight,V1 cinematic wash: Forking paths diverging in damp earth. Verse: «the middle opens and the world stops asking…» Weak v1 test: number symbolism without compelling subject.,"Two mountain paths splitting at a cedar fork, a traveler pausing mid-step — the moment before choosing.",landscape,secondary,active,threshold uncertainty,moderate,"mist in valley, wet bark gleaming",feature
1,9,九,nine,nine,"V1 cinematic wash: Nearly complete stone circle, one segment open. Verse: «it leans forward without falling out of itself» Weak v1 test: overly symbolic / floating kanji / misread risk.","Nine paper lanterns lining a festival bridge, one unlit at the far end — almost complete, deliberately open.",architecture,implied,implied,tender incompleteness,rich,"blue hour, warm points against cool river",supporting
1,10,十,ten,ten,V1 cinematic wash: Crossroads with worn stone under dawn sky. Verse: «where lines cross a quiet center holds them…» Weak v1 test: number symbolism without compelling subject.,"A crossroads market at closing: ten wooden stalls, the last vendor folding indigo cloth — the day completes itself.",mixed,secondary,implied,earned closure,moderate,"dust in sunset, long shadows",supporting
