family_id,display_name,anchor_symbol,status,family_type,notes,example_kanji,font_variation_risk,glossary_priority
siesta_family,Siesta Family,曷,stable,visual_family,pass7 foundation; siesta/sun-hat visual identity; variation-tolerant; phon_parents=5; curated_hub; recursive_nav=enabled; content=review_pending,渇|喝|褐|謁|葛|掲|靄,font-sensitive,high
merchant_family,Merchant Family,啇,stable,phonetic_family,pass7 foundation; phonetic merchant core; click hub for 嫡/滴/適 cluster; phon_parents=5; curated_hub; recursive_nav=enabled; content=review_pending,啇|嫡|摘|敵|滴|適|鏑,stable-form,high
deal_family,Deal Family,商,stable,visual_family,pass7 foundation; lesson-facing wrapper hub (嫡→商-family navigation); curated_hub; recursive_nav=enabled; content=review_pending,商|嫡|滴|適|敵,stable-form,high
robe_family,Robe Family,袁,stable,visual_family,pass7 foundation; hidden reusable robe-family anchor (L22); recursive_nav=enabled; content=review_pending,遠|園|猿|袁,stable-form,high
competition_family,Competition Family,竟,experimental,visual_repeat,pass7 foundation; stand+fin visual repeat; review visual mutation; phon_parents=2; curated_hub; recursive_nav=enabled; content=review_pending,競|鏡|境|竟,font-sensitive,medium
spear_family,Spear Family,戈,stable,hidden_reusable,pass7 foundation; weapon-family anchor (L19 hidden reusable); recursive_nav=enabled; content=review_pending,域|威|式|戈|成|戚|栽|武,stable-form,high
meeting_family,Meeting Family,俞,stable,hidden_reusable,pass7 foundation; meeting-family anchor (L16 hidden reusable); recursive_nav=enabled; content=review_pending,俞|諭|輸,stable-form,high
winter_family,Winter Family,夂,stable,hidden_reusable,pass7 foundation; winter/go-slow component; links 各/客/路 cluster; recursive_nav=enabled; content=review_pending,夂|処|各|夏|攻|政|故|敗,handwriting-shift,medium
koromo_family,Koromo Family,𧘇,stable,visual_family,pass7 foundation; clothes-family primitive (L22); pairs with robe_family; recursive_nav=enabled; content=review_pending,𧘇|衣,font-sensitive,high
clothes_family,Clothes Family,衤,stable,structural_primitive,pass7 foundation; left-clothes radical; lesson vs glossary split; recursive_nav=enabled; content=review_pending,衤|初,font-sensitive,medium
fishpipe_family,Fishpipe Family,田｜,stable,structural_primitive,pass7 foundation; 魚 internal pipe structure (L10 hidden); recursive_nav=enabled; content=review_pending,田｜|魚,compressed-print,medium
direction_family,Direction Family,方,stable,phonetic_family,pass7 auto scaffold; phon_parents=9; recursive_nav=enabled; content=review_pending,方|傍|坊|妨|房|放|敷|紡,stable-form,medium
someone_family,Someone Family,者,stable,phonetic_family,pass7 auto scaffold; phon_parents=9; recursive_nav=enabled; content=review_pending,者|儲|堵|暑|曙|書|渚|煮,stable-form,medium
too_much_family,Too Much Family,余,stable,phonetic_family,pass7 auto scaffold; phon_parents=8; recursive_nav=enabled; content=review_pending,余|叙|塗|徐|斜|舎|茶|途,stable-form,medium
shalt_family,Shalt Family,莫,stable,phonetic_family,pass7 auto scaffold; phon_parents=8; recursive_nav=enabled; content=review_pending,莫|募|墓|幕|慕|暮|模|漠,stable-form,medium
moreover_family,Moreover Family,且,stable,phonetic_family,pass7 auto scaffold; phon_parents=7; recursive_nav=enabled; content=review_pending,且|助|姐|宜|査|狙|祖|租,stable-form,medium
wherefore_family,Wherefore Family,由,stable,phonetic_family,pass7 auto scaffold; phon_parents=7; recursive_nav=enabled; content=review_pending,由|宙|専|届|抽|柚|油|笛,stable-form,medium
deceased_family,Deceased Family,亡,stable,phonetic_family,pass7 auto scaffold; phon_parents=6; recursive_nav=enabled; content=review_pending,亡|妄|忘|忙|望|盲|荒,stable-form,medium
兌_family,兌 Family,兌,stable,phonetic_family,pass7 auto scaffold; phon_parents=6; recursive_nav=enabled; content=review_pending,兌|悦|税|脱|説|鋭|閲,stable-form,medium
其_family,其 Family,其,stable,phonetic_family,pass7 auto scaffold; phon_parents=6; recursive_nav=enabled; content=review_pending,其|基|旗|期|棋|欺|碁|箕,stable-form,medium
part_family,Part Family,分,stable,phonetic_family,pass7 auto scaffold; phon_parents=6; recursive_nav=enabled; content=review_pending,分|扮|盆|粉|紛|貧|雰|頒,stable-form,medium
anti_family,Anti Family,反,stable,phonetic_family,pass7 auto scaffold; phon_parents=6; recursive_nav=enabled; content=review_pending,反|仮|叛|坂|板|版|販|返,stable-form,medium
self_family,Self Family,己,stable,phonetic_family,pass7 auto scaffold; phon_parents=6; recursive_nav=enabled; content=review_pending,己|圏|妃|巻|巽|忌|撰|改,stable-form,medium
pelt_family,Pelt Family,皮,stable,phonetic_family,pass7 auto scaffold; phon_parents=6; recursive_nav=enabled; content=review_pending,皮|婆|彼|披|波|疲|破|簸,stable-form,medium
stand_up_family,Stand Up Family,立,stable,phonetic_family,pass7 auto scaffold; phon_parents=6; recursive_nav=enabled; content=review_pending,立|位|剖|培|拉|泣|竪|笠,stable-form,medium
valley_family,Valley Family,谷,stable,phonetic_family,pass7 auto scaffold; phon_parents=6; recursive_nav=enabled; content=review_pending,谷|俗|容|欲|浴|溶|熔|蓉,stable-form,medium
blue_family,Blue Family,青,stable,phonetic_family,pass7 auto scaffold; phon_parents=6; curated_hub; recursive_nav=enabled; content=review_pending,青|情|晴|清|精|請|錆|靖,stable-form,medium
also_family,Also Family,也,stable,phonetic_family,pass7 auto scaffold; phon_parents=5; recursive_nav=enabled; content=review_pending,也|他|地|弛|施|池|蛇|馳,stable-form,medium
mingle_family,Mingle Family,交,stable,phonetic_family,pass7 auto scaffold; phon_parents=5; recursive_nav=enabled; content=review_pending,交|佼|効|校|狡|絞|較|郊,stable-form,medium
now_family,Now Family,今,stable,phonetic_family,pass7 auto scaffold; phon_parents=5; recursive_nav=enabled; content=review_pending,今|吟|含|念|琴|衿|金,stable-form,medium
orders_family,Orders Family,令,stable,phonetic_family,pass7 auto scaffold; phon_parents=5; recursive_nav=enabled; content=review_pending,令|伶|冷|怜|澪|玲|苓|鈴,stable-form,medium
wrap_family,Wrap Family,包,stable,phonetic_family,pass7 auto scaffold; phon_parents=5; recursive_nav=enabled; content=review_pending,包|抱|泡|砲|胞|鞄|飽,stable-form,medium
