kanji,slug,keyword,prompt
湖,lake,lake,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition,water on the left, gravestone center, moon right"
一,one,one,"a thick solid horizontal rectangle centered on a plain background, bold and clearly visible"
二,two,two,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, two parallel horizontal lines with clear spacing, centered"
三,three,three,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, three evenly stacked horizontal lines, balanced and centered"
四,four,four,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, four small squares arranged in a 2x2 grid, evenly spaced"
五,five,five,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, five dots arranged in a cross pattern, one center and four around"
六,six,six,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, six small dots arranged in two rows of three, evenly spaced"
七,seven,seven,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, two diverging lines forming an open V shape, centered"
八,eight,eight,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a curved hook shape suggesting bending or turning, bold and simple"
九,nine,nine,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a curved hook shape suggesting bending or turning, bold and simple"
十,ten,ten,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a simple cross shape with vertical and horizontal lines intersecting"
口,mouth,mouth,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a simplified human mouth, bold outline, centered composition"
日,day,day,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a bright sun inside a square frame, glowing strongly"
月,month,month,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a crescent moon glowing in a dark sky, soft contrast"
田,rice_field,rice_field,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a square divided into sections representing rice_field"
目,eye,eye,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a simplified human eye, bold outline, centered composition"
古,old,old,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, an old worn object representing old, cracked texture"
吾,i,i,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a simple person pointing to themselves, centered"
冒,risk,risk,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a small figure approaching danger representing risk"
明,bright,bright,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, sun and moon side by side emitting strong light"
唱,chant,chant,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, open mouth with sound waves radiating outward"
晶,sparkle,sparkle,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, three glowing lights forming a triangular cluster"
品,goods,goods,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, stacked simple items representing goods"
呂,spine,spine,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a simplified human spine, bold outline, centered composition"
昌,prosperous,prosperous,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of prosperous, simple abstract form"
早,early,early,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, sun near horizon suggesting early"
