primitive,filename,prompt
⼇,.png,"Minimal educational icon for the concept ""⼇"", centered composition, simple shapes, clean edges, square format, no text, no letters, no border, quiet background, consistent style for a kanji learning system"
一,一.png,"Minimal educational icon for the concept ""一"", centered composition, simple shapes, clean edges, square format, no text, no letters, no border, quiet background, consistent style for a kanji learning system"
七,七.png,"Minimal educational icon for the concept ""七"", centered composition, simple shapes, clean edges, square format, no text, no letters, no border, quiet background, consistent style for a kanji learning system"
九,九.png,"Minimal educational icon for the concept ""九"", centered composition, simple shapes, clean edges, square format, no text, no letters, no border, quiet background, consistent style for a kanji learning system"
五,五.png,"Minimal educational icon for the concept ""五"", centered composition, simple shapes, clean edges, square format, no text, no letters, no border, quiet background, consistent style for a kanji learning system"
儿,儿.png,"Minimal educational icon for the concept ""儿"", centered composition, simple shapes, clean edges, square format, no text, no letters, no border, quiet background, consistent style for a kanji learning system"
八,八.png,"Minimal educational icon for the concept ""八"", centered composition, simple shapes, clean edges, square format, no text, no letters, no border, quiet background, consistent style for a kanji learning system"
十,十.png,"Minimal educational icon for the concept ""十"", centered composition, simple shapes, clean edges, square format, no text, no letters, no border, quiet background, consistent style for a kanji learning system"
口,口.png,"Minimal educational icon for the concept ""口"", centered composition, simple shapes, clean edges, square format, no text, no letters, no border, quiet background, consistent style for a kanji learning system"
日,日.png,"Minimal educational icon for the concept ""日"", centered composition, simple shapes, clean edges, square format, no text, no letters, no border, quiet background, consistent style for a kanji learning system"
月,月.png,"Minimal educational icon for the concept ""月"", centered composition, simple shapes, clean edges, square format, no text, no letters, no border, quiet background, consistent style for a kanji learning system"
田,田.png,"Minimal educational icon for the concept ""田"", centered composition, simple shapes, clean edges, square format, no text, no letters, no border, quiet background, consistent style for a kanji learning system"
目,目.png,"Minimal educational icon for the concept ""唱"", centered composition, simple shapes, clean edges, square format, no text, no letters, no border, quiet background, consistent style for a kanji learning system"
