kanji_index,kanji,slug,keyword,lesson_number,kml_primitives,cluster_components,jp_verse,en_verse
1,一,one,one,1,一,,ただ一本     静けさだけが     先に立つ,one line remains       before the world decides       to multiply
2,二,two,two,1,一|一,,二つ置き     あいだに生まれる     やわらかな間,not alone now       space starts speaking       between equals
3,三,three,three,1,一|一|一,,三つ並び     目にも心にも     落ちついて,the third mark lands       and suddenly the air       feels arranged
4,四,four,four,1,口|儿,,囲まれて     静かに残る     内の気配,a frame appears       and what was open       learns to stay
5,五,five,five,1,五,,まっすぐで     まっすぐでない     その強さ,it almost balances       but keeps one hidden turn       to stay alive
6,六,six,six,1,⼇|八,,上に息     下へひらいて     形になる,from the top       the thought breaks open       into room
7,七,seven,seven,1,七,,ひとすじが     少し曲がって     意志になる,one stroke turns       and suddenly feels       like intent
8,八,eight,eight,1,八,,左右へと     ひらいてゆけば     道になる,the middle opens       and the world stops asking       for only one way
9,九,nine,nine,1,九,,曲がりつつ     ほどけず残る     強い先,it leans forward       without falling out       of itself
10,十,ten,ten,1,十,,縦と横     出会ったところに     芯が立つ,where lines cross       a quiet center       holds them both
11,口,mouth,mouth,1,口,,声の前     四角い静けさ     口を待つ,before the word       there is an opening       waiting to speak
12,日,sun,sun,1,日,,日の中に     おさまる光     まだあたたかい,day stands still       inside its simple walls       glowing quietly
13,月,moon,moon,1,月,,,
14,田,field,field,1,田,,田の区切り     育つためには     道も要る,the earth is split      so life can rise      with somewhere to go
15,目,eye,eye,1,目,,見つめれば     形の奥にも     気配あり,the eye holds still      and more than the surface      comes forward
16,古,old,old,1,十|口,,古きもの     消えずに残る     声のよう,old does not mean gone      it means the shape of time      still speaking
17,吾,I,I,1,五|口,,われここに     大きく言わず     ただ在りぬ,I am not thunder      just a place from which      the world is answered
18,冒,risk,risk,1,日|目,,見えぬまま     それでも一歩     出してみる,risk is not noise      it is the quiet foot      that still goes on
19,朋,companion,companion,1,月|月,,並び立つ     似た灯どうしの     あたたかさ,side by side      not one shadow deeper      than the other
20,明,bright,bright,1,日|月,,日と月が     ともにあるとき     明るさ満つ,brightness deepens      when light meets another light      and neither fades
21,唱,chant,chant,2,,,,
22,晶,sparkle,sparkle,2,,,,
23,品,goods,goods,2,,,,
24,呂,spine,spine,2,,,,
25,昌,prosperous,prosperous,2,,,,
26,早,early,early,2,,,,
27,旭,rising_sun,rising_sun,2,,,,
28,世,generation,generation,2,,,,
29,胃,stomach,stomach,2,,,,
30,旦,dawn,dawn,2,,,,
31,胆,gallbladder,gallbladder,2,,,,
32,亘,span,span,2,,,,
33,凹,concave,concave,2,,,,
34,凸,convex,convex,2,,,,
35,旧,olden_times,olden_times,2,,,,
36,自,oneself,oneself,2,,,,
37,白,white,white,2,,,,
38,百,hundred,hundred,2,,,,
